ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
18412,Rue de Cambrai,Québec,Sainte-Foy–Sillery–Cap-Rouge,119198,46.759314001659405,-71.30397915368951
2193,Rue Saint-Paul,Québec,La Cité-Limoilou,105419,46.81651849298925,-71.20617136162534
11957,Rue Phydime-Deschênes,Québec,Charlesbourg,124015,46.89181817294347,-71.30488681527873
1122,Rue du Roi,Québec,La Cité-Limoilou,104514,46.81447258007587,-71.22656417363146
9458,Rue Estiembre,Québec,La Haute-Saint-Charles,115947,46.867916830418025,-71.32253206679806
1485,Rue Saint-Marcel,Québec,La Haute-Saint-Charles,105343,46.864260841009184,-71.39306452685226
2366,Rue D'Auteuil,Québec,La Cité-Limoilou,,46.812445926073195,-71.21303854726312
8038,Rue Arel,Québec,Beauport,127754,46.89212633398083,-71.19858128302273
3888,Route de l'Aéroport,Québec,Sainte-Foy–Sillery–Cap-Rouge,117249,46.78993594594761,-71.35675846050528
8688,Avenue du Bourg-Royal,Québec,Charlesbourg,124815,46.888896853279086,-71.25486948584741
6651,Avenue Notre-Dame,Québec,Sainte-Foy–Sillery–Cap-Rouge,123473,46.7967019270596,-71.44910736764707
10025,Rue des Eaux-Fraîches,Québec,La Haute-Saint-Charles,200239,46.884875331629665,-71.38235603375993
13564,Boulevard Louis-XIV,Québec,Charlesbourg,131347,46.878060772367185,-71.24839080041117
11029,Chemin de Château-Bigot,Québec,Charlesbourg,124732,46.89595832807103,-71.25325329308528
19586,Rue de Bergerville,Québec,Sainte-Foy–Sillery–Cap-Rouge,116347,46.7821662815164,-71.24803663423029
11054,Rue du Sieur,Québec,Charlesbourg,124791,46.892368450742694,-71.27022343050876
5039,Rue J.-F.-Martel,Québec,Sainte-Foy–Sillery–Cap-Rouge,123113,46.811164740253155,-71.37779935609045
11300,Boulevard Lebourgneuf,Québec,Les Rivières,200019,46.839927830623374,-71.28366310708961
1779,Rue Michelet,Québec,Les Rivières,103536,46.81097227332414,-71.32616181941445
1952,Rue Le Page,Québec,Les Rivières,103893,46.844536364667285,-71.30535126276924
9951,Rue du Canotage,Québec,La Haute-Saint-Charles,117676,46.90159939147811,-71.36086619780201
12204,Boulevard Wilfrid-Hamel,Québec,Les Rivières,105981,46.81208037247752,-71.25558801920974
1769,Avenue Saint-Jean-Baptiste,Québec,Les Rivières,105192,46.80760247913021,-71.33741093894145
10811,Rue Joseph-Isabelle,Québec,Les Rivières,113678,46.820065226523,-71.26429394049607
12651,Rue Lavigueur,Québec,La Cité-Limoilou,103109,46.81123240947875,-71.22336686228623
3793,Rue De Repentigny,Québec,La Cité-Limoilou,104383,46.78994237047133,-71.25357830506546
